title,authors,publication_date,description,cite_by
Asean automotive supply chain management (SCM): entrepreneurial scm competence and performance,,,,
Performance assessment of technology transfer project: An application of DEA technique,,,,
Lean supply chain strategy and operational performance,,,,
"A Study of Demanding on Scientists, Technologists, and Engineers by Manufacturing Industry Clusters",,,,
Implementation of new manufacturing technologies and quality management systems in the thai automotive industry,,,,
Supplier Selection and Ranking Towards Sustainable Procurement with Multiple Decision Makers,,,,
Logistics 4.0: implementation of Internet of Things (IOT),,,,
Institutional theory and technology adoption: Performance measures and drivers of medical technology in healthcare service industry,,,,
Drivers for green supply chain management: priorities and impact from organizational theory perspective,,,,
การ ปรับปรุง กระบวนการ บด น้ำยา เคลือบ เซรา มิ ก ส์ สำหรับ กระเบื้อง ปู พื้น และ บุ ผนัง ตาม กระบวนการ แก้ไข ปัญหา,,,,
"Erratum: The relationships between firm's strategy, resources and innovation performance: resources-based view perspective (Production Planning and Control (2013))",,,,
Supplier selection activities in the service sector: A case study in Nigeria,,,,
"International Journal Logistic Management: Antecedents of SCM practices in ASEAN automotive industry Corporate entrepreneurship, social capital, and resource-based perspectives",,,,
Two-stage data envelopment analysis technique for evaluating internal supply chain efficiency,,,,
Integrated model of supply chain processes and performance measures: a case of dairy industry,,,,
Prioritising of warehouse operations performance measures: fuzzy AHP approach,,,,
Prioritizing of six sigma project selection: a resource-based view and institutional norms perspective,,,,
Performance monitoring under supply and demand disruption: a fuzzy-based decision support model,,,,
Robotic Technology With The Medical Application,,,,
400 CASE STUDIES IN QUALITY-Total quality management (TQM) strategy and organisational characteristics: Evidence from a recent WTO member-410: Y,,,,
A Study of the relationship between improvement initiatives and operating performance,,,,
A study of quality management practices in TQM and non‐TQM firms,,,,
Cloud Computing: Emerging Technology That Will Transform Your Business Model,,,,
Green Supply Chain Efficiency Measurement Using Data Envelopment Analysis (DEA),,,,
Enhancing healthcare service operations by adopting lean strategy,,,,
An Analysis of Research Papers in the National Operations Research Conference,,,,
Asean Economic Community Agreement,,,,
Technology Transfer Between University And Industry: A Case Study From Hard Dik Drive Inspector And Sorter Machine Development Project,,,,
Diffusion Of Technology: Enabling Factors From Trust Theory Perspective,,,,
Prioritizing enabling factors in reverse logistics strategy implementation,,,,
Supply chain management and operational performance: An exploratory analysis of ASEAN automotive OEM suppliers,,,,
ASEAN economic community agreement,,,,
Skill Inexistence and Knowledge Requirements of Technology Marketing and Management Programs in Emerging Thailand and Vietnam,,,,
A Study of the Relationships among Total Quality Management Strategy Organizational Culture and Organizational Performances,,,,
Prioritizing enabling factors for successful Radio Frequency Identification (RFID) implementation: the application of a multi-criteria decision-making method,,,,
"Multidimensional of Manufacturing Technology, Organizational Characteristics, and Performance",,,,
Adoption of Supplier Development Activity to Enhance Efficiency: A Case Study of Agricultural Machinery Manufacturing Company,,,,
Operational/Manufacturing Strategy in Service Operations: A Case Study of SERVQUAL Model in Airline Company,,,,
Formation of the Che River Basin Committee,,,,
Conceptual Framework of Manufacturing Strategy Development: Findings From Literature Review,,,,
The Study of Factors Component Relating to Road Accidents,,,,
Conference organisation,,,,
Determinants of Quality in Innovation Processes: Impacts of Human Capitals to the Development of Science and Technology,,,,
Implementation of Quality Management System: Experience from the Thai Automotive Industry,,,,
Determinants of Quality in Innovation Processes: Impacts of Human Capitals to the Development of Science and Technology,,,,
KKU Engineering Journal,,,,
ICQR 2007: proceedings of the fifth International Conference on Quality and Reliability,,,,
EXPERT OPINIONS ON SUCCESS FACTORS FOR NEW MANUFACTURING TECHNOLOGY DEPLOYMENT IN THAI AUTOMOTIVE INDUSTRY,,,,
APPLICATION OF QUALITY MANAGEMENT PRACTICES TO NEW MANUFACTURING TECHNOLOGY IMPLEMENTATION,,,,
Organizers and program committees,,,,
Quantifying the influence of environmental and water conservation attitudes on household end use water consumption,,,,
Alarming visual display monitors affecting shower end use water and energy conservation in Australian residential households,,,,
Web-based knowledge management system: linking smart metering to the future of urban water planning,,,,
Revealing the determinants of shower water end use consumption: enabling better targeted urban water conservation strategies,,,,
The role of climate for innovation in enhancing business performance,,,,
Gold Coast domestic water end use study,,,,
Linking project health to project performance indicators: Multiple case studies of construction projects in Saudi Arabia,,,,
Critical success factors for safety program implementation among construction companies in Saudi Arabia,,,,
Assessment of the embodied carbon in precast concrete wall panels using a hybrid life cycle assessment approach in Malaysia,,,,
"Novel bottom-up urban water demand forecasting model: revealing the determinants, drivers and predictors of residential indoor end-use consumption",,,,
Transforming care strategies and nursing‐sensitive patient outcomes,,,,
Showering behavioural response to alarming visual display monitors: longitudinal mixed method study,,,,
Variations in embodied energy and carbon emission intensities of construction materials,,,,
Critical pathways to enhanced innovation diffusion and business performance in Australian design firms,,,,
Influence of safety motivation and climate on safety behaviour and outcomes: evidence from the Saudi Arabian construction industry,,,,
Evaluating innovation diffusion readiness among architectural and engineering design firms: Empirical evidence from Australia,,,,
The contribution of structural design to green building rating systems: An industry perspective and comparison of life cycle energy considerations,,,,
Pathways to workplace innovation and career satisfaction in the public service: The role of leadership and culture,,,,
Redesigning the ICU nursing discharge process: a quality improvement study,,,,
Determining the causal relationships among balanced scorecard perspectives on school safety performance: Case of Saudi Arabia,,,,
Factors affecting the current diffusion of BIM: a qualitative study of online professional network,,,,
Validation of an empirical model for innovation diffusion in Australian design firms,,,,
A framework of innovative learning for skill development in complex operational tasks,,,,
Influence of total quality management on performance of Vietnamese construction firms,,,,
Exploring leadership styles for innovation: an exploratory factor analysis,,,,
Influence of organisational culture on total quality management implementation and firm performance: evidence from the Vietnamese construction industry,,,,
Stakeholder Management in Complex Project: Review of Contemporary Literature.,,,,
Current use of building information modelling within Australian AEC industry,,,,
Modelling the innovation diffusion process in Australian architectural and engineering design organisations,,,,
Workplace innovation: Exploratory and confirmatory factor analysis for construct validation,,,,
Model of the Russian Federation construction innovation system: An integrated participatory systems approach,,,,
The impact of fatigue on labour productivity: case study of dam construction project in Queensland,,,,
Using LOD in structural cost estimation during building design stage: pilot study,,,,
Integrating building information modelling (BIM) into Engineering education: an exploratory study of industry perceptions using social network data,,,,
Developing a comprehensive safety performance evaluation framework for Saudi schools,,,,
Empirical analysis of the impacts of safety motivation and safety climate on safety behaviour,,,,
Perceived Impacts of Industry 4.0 on Manufacturing Industry and Its Workforce: Case of Germany,,,,
Leveraging power of learning capability upon manufacturing operations,,,,
Drivers and barriers to innovation in the Australian public service: a qualitative thematic analysis,,,,
Effects of a Brief Team Training Program on Surgical Teams' Nontechnical Skills: An Interrupted Time-Series Study.,,,,
An integrated participatory systems modelling approach: application to construction innovation,,,,
Intelligent metering for urban water planning and management,,,,
Comparative study of project-based learning and traditional lecture-tutorial teaching approaches in undergraduate engineering courses,,,,
Bayesian network revealing pathways to workplace innovation and career satisfaction in the public service,,,,
Generating historical condition ratings for the reliable prediction of bridge deteriorations,,,,
Enhancing innovation and firm performance: The role of climate for innovation in design firms,,,,
Statistical Data Analysis of Culture for Innovation Using an Open Data Set from the Australian Public Service,,,,
Implementing e-tendering to improve the efficiency of public construction contract in Saudi Arabia,,,,
Relationship between National Culture and Safety Behaviour: Evidence from Petrochemical Employees in Saudi Arabia,,,,
Developing a model of construction safety in Saudi Arabia,,,,
Applying mixed methods sequential explanatory design to innovation management,,,,
Innovation diffusion process in the Australian construction industry,,,,
Mapping the construction innovation system in the russian federation: Conceptual model development,,,,
Management styles and employee satisfaction: the role of cultural diversities,,,,
Assessment of embodied energy and carbon emission of building and construction processes in Malaysia using process-based hybrid analysis,,,,
Investigating the link between climate for innovation and diffusion outcomes in architecture and engineering design organisations,,,,
Examining transition pathways to construction innovation in Russia: a system dynamics approach,,,,
Analyzing client-led innovation enablers in Australian construction projects,,,,
Dealing with complexity: a holistic participatory systems approach for improving construction innovation performance,,,,
Understanding students’ use of online learning tools through online learning readiness assessment,,,,
Learning from the past: analysis of factors contributing to construction project disputes in Australia,,,,
Linking online learning readiness to the use of online learning tools: The case of postgraduate engineering students,,,,
Empirical Study of Relationships between Climate for Innovation and Business Performance Outcomes in Design Firms,,,,
Flipping a postgraduate classroom: Experience from Griffith University,,,,
Variability in Embodied Energy and Carbon Intensities of Building Materials Using Hybrid LCA: Malaysian Experience,,,,
Assessment of Embodied Carbon Emission in Precast Concrete wall panels Using Hybrid Life Cycle Assessment: A case study,,,,
The evolution of a framework for Building Environmental Assessment (BEA) for green buildings in Saudi Arabia,,,,
Students acknowledge that deep assessment types improve engineering graduate attributes: Shallow learning still prevails,,,,
Project management skills for engineers: industry perceptions and implications for engineering project management course,,,,
Introducing an innovation promotion model for construction projects,,,,
Unraveling Key Drivers for Engineer Creativity and Meaningfulness of Work: Bayesian Network,,,,
Application of wearable augmented reality system in expressway inspection,,,,
Innovation policy analysis and decision making: a systems approach,,,,
A systemic approach to conceptualising a model of construction innovation system in Russia,,,,
Cementing engineering student engagement through early program exposure to industry practice using aligned project case studies presented by industry professionals,,,,
"Development of a domestic water end use consumption forecasting model for South-East Queensland, Australia",,,,
Biodiversity,,,,
Climate for Enhancing Innovation Diffusion: Pathways to improved business performance,,,,
Enhancing Innovativeness in the Construction Sector: A System Dynamics Analysis,,,,
Extraction and analysis of construction safety hazard factors from open data,,,,
"The 10th International Conference on Engineering, Project, and Production Management",,,,
EARLY VIEW,,,,
Development of Augmented Reality Application for Onsite Inspection of Expressway Structures Using Microsoft HoloLens,,,,
Ambient intelligence to improve construction site safety: case of high-rise building in Thailand,,,,
Current Situation and Development of Green Building Rating System in Myanmar,,,,
APPLICABILITY OF BUILDING INFORMATION MODELING (BIM) INTEGRATED AUGMENTED REALITY (AR) IN BUILDING FACILITY MANAGMENT,,,,
VIRTUAL REALITY APPLICATION TO AID CIVIL ENGINEERING LABORATORY PREPARATION FOR UNDERGRADUATE STUDENTS,,,,
Application of artificial intelligence to automate construction materials data classification,,,,
How to Describe a Large Business on a Business Board Game: An Illustration of Construction Company,,,,
SYSTEMS THINKING AND MODELLING IN INNOVATIVE HOUSING,,,,
To innovate or not to innovate: A Russian case of the construction industry,,,,
SOCIAL HOUSING IN MYANMAR: ISSUES AND WAY FORWARD,,,,
Supplier selection model in construction,,,,
Concurrency in BIM-Based Project Implementation: An Exploratory Study of Chongqing Jiangbei International Airport’s Terminal 3A,,,,
Global Relevance of Translational Research in Engineering and Project Management,,,,
IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT,,,,
Traffic Noise Mitigation for Sustainable Housing,,,,
OFF-SITE MANUFACTURING OF BUILDINGS (OSM) IN AUSTRALIA: TOWARDS MEASURING STAKEHOLDERS’PERCEIVED VALUES,,,,
Innovation in the Australian Public Service: A Qualitative Analysis,,,,
Looking Beyond Contemporary Project Management,,,,
Development of Indicators for Measuring Organisational Capacity for Climate Change Adaptation,,,,
INNOVATION DIFFUSION IN THE BUILT ENVIRONMENT: A REVIEW,,,,
Design-for-Manufacture Techniques in the Vietnamese Construction Industry: Opportunities and Barriers,,,,
A GIS Based Crash Assignment Model for Signalized T intersections,,,,
Benchmarking Saudi Public Schools Using a Safety Balanced Scorecard (BSC) Approach,,,,
Knowledge Management Tools and Techniques Used in the Australian Construction Industry,,,,
ASSESSMENT OF EMBODIED ENERGY AND CARBON EMISSION OF BUILDING AND CONSTRUCTION PROCESSES IN MALAYSIA USING PROCESS-BASED HYBRID ANALYSIS,,,,
Validation of carbon emission intensity in precast concrete structure using hybrid life cycle assessment,,,,
"Industry partnered PhD projects: Impediments, coping strategies and procedures",,,,
DEVELOPING A CONCEPTUAL MODEL FOR INNOVATION DIFFUSION EVALUATION IN ARCHITECTURE AND ENGINEERING DESIGN ORGANISATIONS,,,,
CONSTRUCTION VISUALIZATION AND PROGRESS SIMULATION BY VIRTUAL REALITY MODELING LANGUAGE (VRML),,,,
The contingency effects of environmental uncertainty on the relationship between supply chain integration and operational performance,,,,
The influence of institutional norms and environmental uncertainty on supply chain integration in the Thai automotive industry,,,,
The moderating effects of technological and demand uncertainties on the relationship between supply chain integration and customer delivery performance,,,,
Integrating environmental management into supply chains: a systematic literature review and theoretical framework,,,,
Manufacturing strategies and innovation performance in newly industrialised countries,,,,
The combined effects of internal and external supply chain integration on product innovation,,,,
Measuring service supply chain management processes: The application of the Q-sort technique,,,,
CEO transformational leadership and the new product development process,,,,
Service supply chain management process capabilities: Measurement development,,,,
A study of supply chain integration in Thai automotive industry: a theoretical framework and measurement,,,,
Measuring service quality dimensions: An empirical analysis of Thai hotel industry,,,,
"How does sustainable development of supply chains make firms lean, green and profitable? A resource orchestration perspective",,,,
Managing self-service technology service quality to enhance e-satisfaction,,,,
The roles of CEO transformational leadership and organizational factors on product innovation performance,,,,
Measuring the success of a performance measurement system in Thai firms,,,,
Quality standard implementation in the Thai seafood processing industry,,,,
The effect of internal and external supply chain integration on product quality and innovation: evidence from Thai automotive industry,,,,
Green service practices: performance implications and the role of environmental management systems,,,,
Achieving product quality performance: The roles of supply chain integration and information technology,,,,
Empirical investigation of alternate cumulative capability models: a multi-method approach,,,,
Measuring Supply Chain Integration—Using the Q-Sort Technique,,,,
Prioritizing warehouse performance measures in contemporary supply chains,,,,
Marketing-operations alignment: A review of the literature and theoretical background,,,,
Eco-design practices towards sustainable supply chain management: interpretive structural modelling (ISM) approach,,,,
The implementation of ISO 9000 in Thai seafood processing industry: an empirical study,,,,
"Quality of health WEBsites and their influence on perceived usefulness, trust and intention to use: an analysis from Thailand",,,,
Public perception of the COVID-19 pandemic on Twitter: sentiment analysis and topic modeling study,,,,
The role of information technology and supply chain integration on production cost performance,,,,
Effects of green supply chain integration and green innovation on environmental and cost performance,,,,
Do arcs of integration differ across industries? Methodology extension and empirical evidence from Thailand,,,,
Moderating effects of environmental uncertainty on supply chain integration and product quality: An empirical study of Thai automotive industry,,,,
"Environmental management systems, practices and outcomes: differences in resource allocation between small and large firms",,,,
An empirical model of the relationship between competitive capabilities: evidence from the Thai automotive industry,,,,
Marketing operations alignment: A systematic literature and citation network analysis review,,,,
Managing Service Quality of Self-Service Technologies to Enhance e-Satisfaction in Digital Banking Context,,,,
The interactions between internal and external integration and their combined effects on operational performance,,,,
Analyzing service quality in Thai hotel industry: An application of the SERVQUAL model,,,,
Supplier qualification for high-value goods and services in Nigeria: a comparison of qualified and non-qualified suppliers,,,,
Communication drivers for drug adoption in an uncertain world,,,,
Service supply chain management process capabilities: A theoretical framework and empirical study,,,,
Supply chain management in service industry: A process capabilities perspective,,,,
Using a Simulation Game Approach to Teach Pull and Push Production System Concepts,,,,
Co-creation with international customers in the new product development process: A case study of a manufacturer in Thailand,,,,
The contingency effects of internal and external collaboration on the performance effects of green practices,,,,
Information technology management and service performance management capabilities: an empirical study of the service supply chain management process,,,,
Marketing–operations alignment: scale development and validation,,,,
What are the Returns of Sustainability Reporting? An Empirical Investigation in US Manufacturers,,,,
The Effects of Environmental Information Exchange and Collaboration: New Theories and Evidence,,,,
Value-chain Environmental Orchestration: A Mediation model of its Impacts on Competitive Performance,,,,
Integrating environmental management into supply chains,,,,
The roles of CEO transformational leadership on product innovation,,,,
"Green Service Practices: Performance Implications and the Role of Environmental Management Systems (vol 5, pg 69, 2013)",,,,
SERVICE SCIENCE,,,,
Supply Chain Integration and Firm Competitive Capability: An Empirical Study of the Thai Automotive Industry,,,,
International Journal of Physical Distribution &amp; Logistics Management,,,,
P. Kyriazopoulos,,,,
Area Editor of Africa,,,,
A Critical Review of Supply Chain Management Concept,,,,
Emerald Article: Measuring the success of a performance measurement system,,,,
Does Integrative Approach to Green Supply Chain Management Matter? An Empirical Study,,,,
The Sequence of Cumulative Capabilities: A Comparison of Three Industries in Thailand,,,,
Training and Development Activities: A Case Study of a Hospital in Thailand,,,,
Achieving time-based operational performance through supply chain integration and knowledge management: a theoretical framework and measurement,,,,
"Workers’ remittances, economic growth and poverty in developing Asia and the Pacific countries",,,,
The impact of food safety standards on processed food exports from developing countries,,,,
L REVIEW OF LA,,,,
Determinants of export performance in East and Southeast Asia,,,,
Capital flows and real exchange rates in emerging Asian countries,,,,
Private investment: Trends and determinants in Thailand,,,,
Inflation in developing Asia,,,,
Inflation in developing Asia: pass‐through from global food and oil price shocks,,,,
"Equilibrium real exchange rate, misalignment, and export performance in developing Asia",,,,
Outward foreign direct investment and the financial crisis in developing East Asia,,,,
The determinants of household and private savings in Thailand,,,,
"Export performance, foreign ownership, and trade policy regime: Evidence from Thai Manufacturing",,,,
"Science park, triple helix, and regional innovative capacity: province-level evidence from China",,,,
"International production networks, clusters, and industrial upgrading: Evidence from automotive and hard disk drive industries in Thailand",,,,
Real exchange rate overvaluation and currency crisis: evidence from Thailand,,,,
The determinants of remanufacturing practices in developing countries: evidence from Thai industries,,,,
Workers’ Remittances,,,,
When are capital controls effective? Evidence from Malaysia and Thailand,,,,
Cross‐border Mergers and Acquisitions and Financial Development: Evidence from Emerging A sia,,,,
What makes developing Asia resilient in a financially globalized world?,,,,
Trade structure and the transmission of economic distress in the high-income OECD countries to developing Asia,,,,
How effective are capital controls in Asia?,,,,
Banking sector's performance in Bangladesh-An application of selected CAMELS ratio,,,,
Effectiveness of capital controls: evidence from Thailand,,,,
Emerging East Asian economies as foreign investors: an analytical survey,,,,
How effective are capital controls in Asia?,,,,
The decline of investment in East Asia since the Asian financial crisis: An overview and empirical examination,,,,
Determinants of foreign direct investment (FDI) in the power sector: A case study of Bangladesh,,,,
Factors influencing a firm’s decision to conduct remanufacturing: evidence from the Thai automotive parts industry,,,,
Use of FTAs from Thai experience,,,,
Structural adjustment and international migration: an analysis of the Thai clothing industry,,,,
Cross-border mergers and acquisitions and financial development: Evidence from emerging Asia,,,,
Determinants of structural change in food exports from developing countries,,,,
"Exchange rate regimes, capital account opening and real exchange rates: evidence from Thailand",,,,
Supply and demand of biofuels in the fuel market of Thailand: Two stage least square and three least square approaches,,,,
Foreign Direct Investment in Emerging Asia: Implications of the International Production Network,,,,
Determinants of Export Performance in East and Southeast Asia,,,,
Does FTA export creation exist? Evidence from Thai manufacturing,,,,
Global Production Sharing and Wage Premium: Evidence from Thai Manufacturing,,,,
Exporter responses to FTA tariff preferences: evidence from Thailand,,,,
How effective are capital controls? Evidence from Malaysia,,,,
Capital mobility in developing Asia: how does it respond to the financial crises?,,,,
Trade Protection and Firm Productivity: Evidence from T hai Manufacturing,,,,
Global production sharing and wage premiums: evidence from the Thai manufacturing sector,,,,
Determinants of Producer Price versus Consumer price inflation in emerging Asia,,,,
"Workers' Remittances, Capital Inflows, and Economic Growth in Developing Asia and the Pacific",,,,
Productivity spillovers from foreign multinationals and trade protection: firm‐level analysis of Vietnamese manufacturing,,,,
Capital controls in emerging East Asia: How do they affect investment flows?,,,,
"Multinational enterprises, exporting and R&amp;D activities in Thailand",,,,
Export-enhancing effects of free trade agreements in South Asia: Evidence from Pakistan,,,,
"Capital flows, financial markets and banking crises",,,,
Vertical and horizontal FDI technology spillovers: evidence from Thai manufacturing,,,,
Banking Sector reforms in Bangladesh and its impact,,,,
"Export diversification, margins and economic growth at industrial level: Evidence from Thailand",,,,
Capital Mobility in Asia: Causes and Consequences,,,,
Asia rising: Emerging East Asian economies as foreign investors,,,,
Effectiveness of industrial policy on firm productivity: evidence from Thai manufacturing,,,,
Barriers to foreign direct investment in the power sector: evidence from Bangladesh,,,,
Structural Adjustment and International Migration in the Thai Garment Industry: Revisit,,,,
Determinants of consumer price inflation versus producer price inflation in Asia,,,,
"Multinational Enterprises, Exporting and R&amp;D Activities in the South",,,,
Determinants behind the use of informal channels for remitting money from overseas by the wage earners of Bangladesh,,,,
The Profitability Determinants of Private Commercial Banks in Bangladesh,,,,
"Capital Mobility, Exchange Rate Regimes and Currency Crises: Theory and Evidence from Thailand",,,,
Foreign Ownership and Exports of Thai Manufacturing Plants by Industry in 1996,,,,
Should Thailand Join the TPP?,,,,
Sustainable Manufacturing for Thai Firms: A Case Study of Remanufactured Photocopiers,,,,
Impact of Globalization on Labor Market,,,,
Contribution of Equity Entrepreneurship Fund towards Development of SME Sector in Bangladesh,,,,
"Emerging Asia: Essays on Crises, Capital Flows, FDI and Exchange Rates–By Ramkishen S. Rajan",,,,
"Exchange rate regimes, capital account opening and real exchange rates: evidence from Thailand",,,,
"Workers ‘Remittances, Capital Inflows, and Economic Growth in Developing Asia and the Pacific Countries",,,,
Trade protection and productivity differentials between multinationals and local firms in Vietnamese manufacturing,,,,
"Technological Advancement, Import Penetration, and Labour Markets: Evidence from Thai Manufacturing",,,,
"The fourth industrial revolution: by Klaus Schwab, Geneva, World Economic Forum, 2016, 184 pp.",,,,
Self-Help Groups (SHGs) Model for accelerating Grid Connected Rooftop Solar PV (GC-RSPV) in the Residential Sector of India,,,,
Strengthening Investment in Renewable Energy Sector Through Climate Related Financial Risk Disclosure,,,,
6 The use of FTAs,,,,
Mainstreaming Energy Productivity Lending Practices among Indian Financial Institutions (FIs),,,,
Capital account policies in emerging Asian economies: Are they effective in the 2000s?,,,,
Economic Consequences of Globalisation: Case Study of Thailand1,,,,
Capital Mobility in Asia,,,,
The Rise of China's Economy: Opportunities and Threats for India,,,,
GLOBAL AND CROSS-CULTURAL MARKETING,,,,
The effect of trade policy on firm productivity in Thai manufacturing,,,,
Productivity spillovers from foreign multinationals and trade policy: firm-level analysis of Vietnamese manufacturing,,,,
"Firm Productivity, Globalization and Global Product Sharing: Lesson from Thai Manufacturing",,,,
กรอบ แนวคิด และ นัย ยะ ต่อ การ พัฒนา เศรษฐกิจ,,,,
"Effectiveness of Capital Controls: Evidence from Thailand. Asian Development Review, Vol. 29 (2), pp. 50-93",,,,
When are Capital Controls Effective? Evidence from Malaysia and Thailand,,,,
What Makes for a Resilient Developing Asia in a Financially Globalized World?,,,,
"Outward Foreign Direct Investment and the Financial Crisis in Developing East Asia. Asian Development Review, Vol. 26 (2), pp. 1-25",,,,
Southeast Asia in the Global Economy: Securing Competitiveness and Social Protection,,,,
"Discussion Paper No. 0009 March 19, 2008",,,,
PART 1 SPECIAL TOPICS,,,,
Energy Strategy Reviews,,,,
Brands as symbolic resources for the construction of identity,,,,
The self and symbolic consumption,,,,
Consumption and the Symbolic Project of the Self,,,,
Brands as resources for the symbolic construction of identity,,,,
The Buddhist self and symbolic consumption: The consumption experience of the teenage Dhammakaya Buddhists in Thailand,,,,
Das narrative Interview und die narrative Analyse,,,,
Narrative: An alternative way to gain consumer insights,,,,
The young nouveau riche and luxury-brand consumption,,,,
Living in Double World: Harmonizing Homosexuality and Masculinity Through Symbolic Consumptions in Private Space,,,,
When White Elephants Came to the Capital: Negotiating the Self in the New Consumption Space.,,,,
It isn't just for Image: The Lived Meaning of Luxury-brand Consumption among Wealthy Thai Teenagers.,,,,
I am what I consume: from advertising literacy to symbolic consumption,,,,
The fantasized masculinity: The narrative to construct the masculine ideal in fantasy sphere,,,,
Balancing the hybrid self in the competing landscapes of consumption,,,,
The Key Success Factors of Social Media Marketing,,,,
I am what I consume,,,,
When More Time to Choose is Not Good,,,,
The Key Success Factors of Social Media Marketing: Case Studies of the Use of Facebook to Enhance,,,,
Who Is Your Customer and How Much Time They Have: the Moderating Effect of Assortment Type on Consumer Choice Satisfaction,,,,
When Would Extroversion in Me Come Out?: Personality Paradox in Different Contexts,,,,
May You Live Forever?:(Re) writing the Narrative of the Self in a Cremation Volume for a Thai Funeral,,,,
Consumption and the Urbanised Self: Consumption Experience of a Group of Provincial Students Studying in the Cosmopolitan Bangkok,,,,
"I am woman: advertising, consumption and the symbolic project of the transgendered self",,,,
The Different Meanings of the Same Need for Cognitive Closure Levels: Would I Suppress My Feelings or Would I Want to Quit?,,,,
Consumer Mood: A Preemptive Approach of Service Recovery อารมณ์ ของ ผู้ บริโภค กับ การ เตรียม ความ พร้อม ส  า ห รับ การ แก้ไข การ บริการ,,,,
